ID	locution1	locution2	label	roberta_mnli_locution_pred	eval_status
US2016_009	I hate you	Donald, I love you	1	0	FN
US2016_056	"Last month in Ohio, you said you plead guilty to, quote, ""being kind of moderate and center."""	"I would ""take a back seat to no one when it comes to progressive values"""	1	0	FN
QT50_307	but it presents us with so many opportunities to create brilliant jobs across our country, well paid, highly skilled	Climate change presents us with so many challenges	1	0	FN
QT50_587	when the REACH regulations first came in they were marvellous	the REACH chemical regulations are terrible, we hate them, they should never come in.	1	0	FN
QT30_105	sorry, the AstraZeneca one is 70 percent	the reality is that the first dose of the Pfizer/BioNTech is about 70 percent protection, it is reckoned	1	0	FN
QT50_152	the heat goes straight out the window	it's all very well being able to heat up your home	1	0	FN
QT50_516	the Government offer is too low	19 per cent is too high	1	0	FN
QT30_487	it's absolutely not academic for the 3 million people who work in hospitality	after an unexplained two-week delay from the court, the judgment was that it was academic	1	0	FN
US2016_043	Wrong	if there were nuclear war in East Asia , well , you know , that 's fine	1	0	FN
QT50_316	I was told today that the lender has pulled the offer and the best I can get is 10.5%	I was told my initial interest rate would be 4.5%	1	0	FN
QT50_428	we’re not getting the outcomes we need	It’s actually, weirdly, quite an efficient health service per pound spent	1	0	FN
QT30_198	how is 48 per cent in the Brexit referendum a mandate to nothing	48 per cent is a mandate for a referendum	1	0	FN
QT50_637	changing them in any way and banning them I think is very very dangerous	it’s good to look back on the books and see what was bad about them and criticise them	1	0	FN
QT30_055	I know these figures will now be distorted because of the situation with the coronavirus	I’m very proud of the fact that I’m part of a government that has made some real differences	1	0	FN
QT30_453	the fire safety bill that has gone through today is the starting point	it's not helping her	1	0	FN
QT50_566	I'm not going to go there	you are desperate to drag this into the gutter	1	0	FN
QT50_553	everyone wants to talk about it	they don't want to hear any more about it	1	0	FN
QT30_123	On a number of occasions the UK has not followed that advice, the border being one example	the scientists they have been saying since the beginning of the pandemic there are clear strategies to follow to limit the impact it has	1	0	FN
QT50_415	we don’t have 40	did you just say we have 40 new hospitals	1	0	FN
QT30_424	you know that it will need to go up if we're to deal with these problems	You promised that immigration would come down	1	0	FN
QT50_636	censoring books and changing words and banning books as well is very dangerous	social change is great	1	0	FN
QT50_321	they're going up by 6%	You stepped in as a Central Government and said no, that won't happen	1	0	FN
QT30_530	there are 18 million adults in the country that's going to take more weeks	35 million have had their first jab	1	0	FN
QT30_186	then I ran secondly as a Brexit Party candidate	I don't represent the Brexit Party	1	0	FN
QT50_125	we would've been fined	is never held accountable	1	0	FN
QT50_348	people are living in terror about more, the mortgage costs going up	people are living in terror about the energy costs	1	0	FN
QT50_643	I think Cardiff is reasonably good for public transport once you get out of there	we do not have the kind of public transport that you should all rightly expect	1	0	FN
QT30_110	no, schools are not safe after all	schools are absolutely safe	1	0	FN
QT30_282	I mean it worked because we had to do it to make it work for Zoom	It was absolutely terrible	1	0	FN
QT50_388	not about rubbing a line off a map where all the protections of the Good Friday Agreement are there no matter what your position, whether you're British or Irish	on this island, it is about how you phrased it, it is about a new Ireland	1	0	FN
QT50_134	the polling shows that 80 per cent of the population actually think that wind farms onshore are a good thing	people say that onshore wind farms are not popular	1	0	FN
QT30_340	I'm not astonished the language is being used	There's no possible explanation for it	1	0	FN
QT50_153	Disruptive energy technology doesn't have an expert	the innovation programmes that they put together were being run by experts	1	0	FN
QT50_649	the barracks will house something like 5,000	in terms of being credible, you've got 166,000 odd people waiting to have their asylum claim processed	1	0	FN
QT50_246	a time we are trying all to forget	We just need to look back to that time in May to 20	1	0	FN
QT50_259	this is where local planning policies need to be more sensitive	I'm not in favour of a marketed intervention	1	0	FN
QT30_489	that's what we are seeing and in effect there is a border down the Irish Sea	the Prime Minister said that the Northern Ireland protocol was ingenious and would not result in checks or barriers or border	1	0	FN
QT50_296	We have got empty properties in Paignton	Every bit of land they are	1	0	FN
QT50_214	we need to get this addressed	we don't get this addressed	1	0	FN
QT50_086	there needs to be significantly more movement there	I know there has been significant movement there	1	0	FN
QT50_059	as soon as you develop symptoms of Coronavirus you have to have that data on a database	My understanding is once you sign up to the app there is not a lot of data	1	0	FN
QT50_627	it’s a benevolent decision	it’s great that they did	1	0	FN
QT50_206	the Sue Gray Report hadn't come out	what was announced yesterday, with the Sue Gray Report	1	0	FN
QT50_029	to give us 200 pounds which, and this is the small print, we have to pay back so you might call the Government's strategy of dealing with the problem which has been exacerbated by Government as socialism with a miserly face where the Government takes your money, gives it back to you then asks you to return it	The Government's proposal to support us during this at a time in which the average bill will rise by 700 pounds is to give 150 pounds back via Council tax which is good	1	0	FN
QT30_556	they’ve always insisted until this point that they were only going to pursue the NHS app	Matt Hancock and Baroness Harding said today that they’ve backed both horses of the Google and the android model and the NHS app	1	0	FN
QT50_047	but behind each individual number there is a personal tragedy for both the individuals concerned but also their relatives and families	and we can talk about numbers	1	0	FN
QT50_302	suddenly you say we can't help anymore	it was one of the best in the world	1	0	FN
US2016_054	Now, suddenly, last week, you're against it	You supported his trade deal dozen of times	1	0	FN
