ID	locution1	locution2	label	roberta_mnli_locution_pred	eval_status
QT30_006	they should be available locally I would have thought	Tests are only available online	1	0	FN
QT30_015	thousands and thousands of people are dying in care homes	you are throwing a protective ring around care homes	1	0	FN
QT30_018	It seems to me to be infantilising of Government ministers to try to pretend that could be the case	you treat people like adults	1	0	FN
QT30_020	we have a chance through democracy, to break free, and progress	we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else	1	0	FN
QT30_025	we’re not	we should have been leading the way in reopening	1	0	FN
QT30_027	it’s somehow a widespread problem with late test results	test results in Wales, over 90 per cent of the people get their test results within 48 hours	1	0	FN
QT30_034	as opposed to the nit-picking and the point-arguing that we have seen on Twitter, very strangely, from this Government in particular	your Government began to show a little bit of contrition and acknowledgment of the mistakes that have been made in the handling of this crisis up to this point	1	0	FN
QT30_043	We have learned that we can be at productive when we are at home, if not more productive	you couldn't work at home, you wouldn't be getting enough done	1	0	FN
QT30_045	it’s absolutely horrifying that we can’t provide more	it’s absolutely delightful to see them all	1	0	FN
QT30_048	it’s a huge effort and it takes a lot of work to get children back to school safely with the social distancing requirements	we could sort this out pretty quickly actually	1	0	FN
QT30_053	people feel moved to go out and protest	we’ve got a public health emergency and nobody wants to see crowds out on the street	1	0	FN
QT30_055	I know these figures will now be distorted because of the situation with the coronavirus	I’m very proud of the fact that I’m part of a government that has made some real differences	1	0	FN
QT30_056	they do themselves no favours when they riot in London	The Black Lives Matter movement is excellent	1	0	FN
QT30_062	originally the government was suggesting face coverings were not necessary and might give a false sense of confidence	Face covering matter	1	0	FN
QT30_065	They had to wait 10 days to find out they’re getting 40 million pounds	quick action for the businesses affected	1	0	FN
QT30_075	Jeremy Corbyn allowed the space for anti-Semites to come into the party and the leadership did absolutely nothing about it	It’s not one person’s fault	1	0	FN
QT30_081	the other thing that you did, because of your charisma, your intelligence, you normalised Donald Trump, and that’s the problem	The last two years you have been incredible in terms of coming clean on TV in front of people, you published a book, you’re behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent again	1	0	FN
QT30_090	The NHS relies on subcontractors to do the job of rolling it out	the NHS will do it	1	0	FN
QT30_091	to say the NHS will do it, well, the NHS can only do it if they get the support to do their job	the arguments are given that the NHS will be able to manage the roll-out	1	0	FN
QT30_093	I’m not saying it will be straightforward	I’m not saying it is easy	1	0	FN
QT30_102	People say that’s impossible because there are multi-generational households	because there are multi-generational households	1	0	FN
QT30_105	sorry, the AstraZeneca one is 70 percent	the reality is that the first dose of the Pfizer/BioNTech is about 70 percent protection, it is reckoned	1	0	FN
QT30_110	no, schools are not safe after all	schools are absolutely safe	1	0	FN
QT30_115	There is other evidence that suggests from December cases are going down	the imperial College study is scary in that it doesn’t tell us whether or not the cases are going down from December	1	0	FN
QT30_123	On a number of occasions the UK has not followed that advice, the border being one example	the scientists they have been saying since the beginning of the pandemic there are clear strategies to follow to limit the impact it has	1	0	FN
QT30_126	We can have debates about timing and when the best time to do it would be	This is not about timing	1	0	FN
QT30_134	We could say we'll send hospitality back first, but we won't send schools back	Our distinction is we think schools should go back first	1	0	FN
QT30_147	so many people have sacrificed and we don't want to risk what we've gained in terms of driving the level of the virus right down	we all want to get back to the position where we can have all the liberties back, the freedoms that we lost	1	0	FN
QT30_150	there's this presentation that is just topsy-turvy that somehow England's greedily sitting on all these vaccines	that is a cheap vaccine, and the UK has actually invested huge amounts of money in helping vaccine rollout round the world	1	0	FN
QT30_164	we've actually come together as a country like never before to confront COVID	we've been separated from our families like never before	1	0	FN
