ID	locution1	locution2	label	roberta_mnli_locution_pred	eval_status
QT50_563	There are those who don't support it	I know the majority of people according to polling support the teachers strike	0	1	FP
QT30_125	They're going to get angry about the fact that they are being denied the thing they voted for	people in Scotland are not simply just going to say oh well, we voted for it but they said no, so let's move on	0	1	FP
QT30_059	it’s the people that get it wrong	The government have done a lot to try and make sure that we have racial equality	0	1	FP
QT50_551	not hiding behind others	people expect that the Government take responsibility for the NHS	0	1	FP
QT30_211	I called back in January for a comprehensive hotel quarantine	the challenge was put to me about captain hindsight	0	1	FP
QT50_284	we are starving our public services	you have to have sufficient taxes to pay for them	0	1	FP
QT30_290	it is also the case of tens of thousands of NHS frontline and care staff are also, still, a month after vaccine roll-out began, unvaccinated	I appreciate there are logistical issues	0	1	FP
QT30_426	actually it's the right thing to do	it might be inconvenient	0	1	FP
QT50_568	You don't know	You're making it sound like a lifestyle	0	1	FP
QT30_443	that's a lot of dough	they'd like to insulate homes by 2035	0	1	FP
QT50_255	the SNP are determined to lift people out of poverty	That is the challenge we are facing	0	1	FP
QT30_143	I don't think there's been racism of the coverage of Megan	I'm making a broader point	0	1	FP
QT30_552	But what we have seen is that local authority, when they have been able to go about track and trace, have actually been doing far better than the Serco and others on who the government is spending 12 billion.	This lack of resilience has made it increasingly difficult.	0	1	FP
QT30_202	we also have to look at that evidence and be cautious but irreversible	Human nature is that we want to look forward to better times	0	1	FP
QT50_001	there are different things	we are right to be cautious and anxious	0	1	FP
QT50_402	The one thing it’s not really good at is saving lives, unfortunately	The NHS is really good at lots of things	0	1	FP
QT30_010	that is one of the areas where I think we have seen Boris Johnson actually, you know, fail	in terms of how viable this contact tracing operation is going to be, an awful lot of that does depend on Government communication	0	1	FP
QT50_249	all we're seeing is just the sort of tit for tat chat	Are you fade to represent the people of the nation	0	1	FP
QT50_581	At the moment, that is not allowed	it's happened before	0	1	FP
QT30_377	not be separate from the people	recognising that our politicians are there to serve the people and be accessible to the people	0	1	FP
QT30_047	there has been a total failure to deliver on the promises	We need safety to be achieved through having a functioning test and trace system, and low levels of transmission	0	1	FP
QT50_085	it is not all the people in Russia	whatever else we do, we should not be giving them and him an easy ride	0	1	FP
QT30_272	It can't be both	The matter is closed one minute and he took decisive action the next	0	1	FP
QT50_272	That's not right	they decided to get Owen Paterson off	0	1	FP
QT50_344	They want to still cite it now even though it is false	Bridget talked about all the money that oil and gas companies are making	0	1	FP
QT30_505	Welsh supporters can't go	Denmark supporters can go	0	1	FP
QT50_226	we do	We know that Boris Johnson doesn't have a personal regard for the law	0	1	FP
QT50_129	we will have to learn from this report as well	over the course of the last few years we have invested heavily in midwifery staff	0	1	FP
QT50_127	there's a perfect storm of failures	If they were listened to many of those babies could have been saved	0	1	FP
US2016_026	the kind of plan that Donald has put forth would be trickle-down economics all over again	We also , though , need to have a tax system that rewards work and not just financial transactions	0	1	FP
QT30_098	it is more about getting close to people and resolving it	Colleen’s point of view are we going to fall into the same trap where it comes to rolling out the logistics of this	0	1	FP
QT30_395	the temporary visas is not enough	I dealt with the issue around the visas on the abattoirs	0	1	FP
QT30_157	so many people are facing unemployment	so many people are facing wage cuts	0	1	FP
QT50_669	if we leave them our house, our children will be subject to paying a 40 per cent inheritance tax on that property	the only way that they potentially will be able to have a house is if my husband and I leave them the house that we will eventually finish paying our mortgage when we're into our 60s	0	1	FP
QT50_452	somehow or other you think it might be a good idea to have a bully boy on your side	you know that one of them is a bully	0	1	FP
QT30_407	it isn't encouraging conversation on what's going on now	We are looking at the society of Victoria, which is important	0	1	FP
QT30_229	it is just not going to happen	You're spending 50 per child	0	1	FP
QT30_084	Even that’s not going to solve the problem	It’s the only time I can remember in my lifetime though where the whole world is cooperating on a vaccine	0	1	FP
QT30_550	25 years on and whenever I walk in the street alone, I wear headphones because of how I walk and I talk	this groundbreaking Disability Act	0	1	FP
QT50_078	even people who are supposed to be really called	When this whole invasion was announced by Mr Putin, he called in his top echelon	0	1	FP
QT50_317	let's see the action on it	To give the Government credit, in this announcement on Friday, they said they would make house building easier	0	1	FP
QT50_479	we have to also look at the positive things that have come out of that flawed process	We’ve learned that again and again in different countries	0	1	FP
QT30_114	we can have a border internally within the United Kingdom	the United Kingdom under Theresa May fell into the trap that was led for them by the Republic of Ireland that the Belfast Agreement was about no borders on the island of Ireland	0	1	FP
QT50_215	A blind man on a galloping horse would see this for what it is	I try hard not to be cynical about these things	0	1	FP
QT30_396	they have to go home in order to reapply, in order to come back	they could switch to being able to work in the abattoirs	0	1	FP
QT30_436	you're not winning people over and you're not helping the cause	we want to tackle climate change	0	1	FP
QT30_342	that is the sort of things people need to do	It is not sexy talking about insulating your loft	0	1	FP
QT30_203	No offence, guys, but	I had the feeling that somebody, perhaps Andi, was going to tell us all we had to get up and hug each other	0	1	FP
QT30_030	he wasn’t	he was shaking hands with the staff	0	1	FP
QT30_162	We won't do that if the country is divided by independence	we'll need the skills and talents of everyone in this country to get through this recovery	0	1	FP
QT50_615	what we don’t have is a real tangible plan	what we’ve got right now is a lot of language that obviously no-one would disagree with	0	1	FP
QT30_527	as opposed to our current Prime Minister	That's an appeal for me	0	1	FP
QT50_441	I do feel very strongly about this	I know, I appreciate I’m ranting	0	1	FP
QT50_207	we've all got long memories	I know it's a long time in politics	0	1	FP
QT50_324	the timing is horrendous	As much as you look at the policies and individually, a lot of the policies that were mentioned in the mini-budget were good and will help with growth	0	1	FP
QT50_607	this is a pledge	you can try	0	1	FP
QT30_345	I live in a terraced house	The same is I would love to have an electric car	0	1	FP
QT30_021	there didn’t seem to be that sense of order	we all owe it to each other to respect the rule of law	0	1	FP
QT50_635	bullying for children will continue	which probably the publishers are using as they monetise the nostalgia that is Roald Dahl for many parents actually	0	1	FP
QT30_293	not in the best interests of the people who live here	because the reality is also that throughout all of the Brexit debate what was very clear was the fact of the about the was very much on an English agenda	0	1	FP
QT30_495	the Government have decided to reduce the percentage as well	it would have reduced anyway due to the pandemic	0	1	FP
QT50_523	he's pointing out that there is a problem	he gets attacked by the BMA for running down hard working GPs	0	1	FP
QT30_296	there's a sting in the tail for workers here, particularly in terms of hospitality and getting people back in	I have lots of empathy with business owners who would like this to enable their customers to feel safe	0	1	FP
QT30_166	I know that people will make the case that things have happened since then	whether we spend it debating an issue that in reality was resolved almost seven years ago	0	1	FP
QT50_217	Stormont is going to do anything	As a unionist I agree with most of what Emma said	0	1	FP
QT30_281	I don't disagree	I have been fighting against some of the excessive limitations about this	0	1	FP
QT50_240	that's what I am saying tonight	this is a difficult thing for me as a lifelong Conservative to be sitting here	0	1	FP
QT50_555	one of my criticisms of this is that he doesn't actually have any solutions to it at all	lots of terrible mistakes were made	0	1	FP
QT50_177	people need to look at their own local authorities	we keep talking about how much MPs get paid and everybody else	0	1	FP
QT30_309	At that point, I was like hold on a second, again, we are being mocked in Parliament	up until then, you know the Prime Minister had a really good kind of you know, what he said made sense	0	1	FP
QT30_346	If I used the train	I can't get there for £30 on a flight	0	1	FP
QT50_130	we will have to learn from this report as well	we've introduced the Best Start Programme	0	1	FP
QT50_525	the first thing that Margaret Thatcher did when she came into office, pretty much, was to pay the public sector quite large increases	the Tory Party seems to believe that Margaret Thatcher was tremendously tough, and so they should be like her	0	1	FP
QT50_472	what he’s doing is greenlighting yet more oil and gas	we had Rishi Sunak claiming that he’s going to go faster	0	1	FP
US2016_039	I just want to get the answer here	I will let you respond	0	1	FP
QT50_114	working with the UK Government last week, and I've commended the Government on helping to get 50 odd orphans out of Dnipro into Scotland	in that desire to achieve consenus we must do more	0	1	FP
QT30_289	that’s assuming everybody comes in for their first shot and for their second shot and you are not playing catch-up	If you start vaccinating in January, given that it takes 5 to 6 weeks to get immunity, and you did a million people a week, we wouldn’t get that 10 million vaccinated until way into April	0	1	FP
QT30_315	clearly, there was a case to be answered	The perspective that is looked on in politicians, I don't think, actually, is often worked through at what cost they're doing some parts of their job	0	1	FP
QT50_674	We need to have a bit of vision	that's what's going on	0	1	FP
QT30_060	we must never deny the progress that we’ve made	we should always aspire to move further and faster	0	1	FP
QT30_249	we don't know if restrictions will be fully lifted then or not	We have been talking about 21 June	0	1	FP
QT50_434	we certainly can’t afford a great deal more	that isn’t only about possibly a slightly higher pay rise	0	1	FP
QT30_044	Planning is still an impediment to the pace at which we want to move	we need to build build build	0	1	FP
QT30_401	nobody wants to admit to it in the Government	the problem here is the elephant in the room and nobody wants to admit to it in the Government is Brexit	0	1	FP
QT30_409	the effective tax raise on people under the system for universal credit was 90 per cent	you say you would do all of these things	0	1	FP
QT50_677	our Government is cutting the aid budget	Tonight 800 million will go to bed hungry around the world	0	1	FP
QT50_548	when it comes to the issue of life and limb if you don't know that someone will come when there's literally a risk to life, I don't think that's the right	the point the gentleman's making, of course you have to be able to strike that balance	0	1	FP
QT50_397	not the party	they should have the best interests of the country uppermost in their minds	0	1	FP
QT50_049	clearly we are at 30,000 deaths	it is dangerous and that's certainly what our public health expert colleagues say to draw conclusions at this point	0	1	FP
QT30_397	the only way that you fix this problem is to improve conditions in the industry	the Government could take some steps right now that would ease the problem	0	1	FP
QT50_632	the government refuses to put in place a proper windfall tax	Shell today made eye-watering profits, driven by the energy crisis, paid by everybody in this room	0	1	FP
QT30_223	we've got to learn and improve	franchises just doesn't work	0	1	FP
QT50_005	I think we need to know more about this	the Omicron cases tend to be on the severe end then	0	1	FP
QT50_543	You can't guarantee on a normal day that you will get an ambulance when you need it	we're in the ludicrous position at the moment where Conservative ministers are talking about introducing minimum standards during strikes	0	1	FP
QT50_222	the British government have been found wanting in that regard	you have two people willing to negotiate with each other in a credible fashion	0	1	FP
QT50_233	Robert, I have a lot of respect for you, and we worked together in your previous role	have to say, Robert, but how you could believe anything that Boris Johnson says at face value is beyond me at this point	0	1	FP
QT30_518	It needs to be in the context of the overall food strategy	I'm glad the Government is beginning to look at it	0	1	FP
QT30_066	the simpler the message, the harsher it is	Clarity of messaging is critically important	0	1	FP
QT50_308	There would have still been arguments	It strikes me as a budget that you could have done after Brexit in 2016 and let a lot of things rip	0	1	FP
QT30_089	you’re being asked can you do it given that these freezers, you know -70, are necessary to get this distributed	We need people to believe and to take the vaccine	0	1	FP
QT50_158	Putin clearly hasn't seen the sunlight in quite a while	It's the International Criminal Court	0	1	FP
QT50_554	The Government need to start tackling inflation first	obviously it's conditions also	0	1	FP
