ID	proposition1	proposition2	label	roberta_mnli_proposition_pred	eval_status
US2016_009	I hate TRUMP	I love TRUMP	1	0	FN
US2016_056	CLINTON pleads guilty to being kind of moderate and center	CLINTON would take a back seat to no one when it comes to progressive values	1	0	FN
QT50_307	climate change it presents us with so many opportunities to create brilliant jobs across our country, well paid, highly skilled	climate change presents us with so many challenges	1	0	FN
QT50_587	when the REACH regulations first came in they were marvellous	the REACH chemical regulations are terrible, we hate them, they should never come in	1	0	FN
QT30_105	sorry, the AstraZeneca one is 70 percent protection	the reality is that the first dose of the Pfizer/BioNTech is about 70 percent protection, it is reckoned	1	0	FN
QT50_152	the heat goes straight out the window	it's all very well being able to heat up your home	1	0	FN
QT50_516	the Government offer for nurses is too low	a 19 per cent pay increase for nurses is too high	1	0	FN
QT30_487	the case is absolutely not academic for the 3 million people who work in hospitality	after an unexplained two-week delay from the court, the judgment was that the case was academic	1	0	FN
US2016_043	if there were nuclear war in East Asia, that's not fine	if there were nuclear war in East Asia, that 's fine	1	0	FN
QT50_316	AudienceMember 20221006QT62 was told today that the lender has pulled the offer and the best they can get is 10.5%	AudienceMember 20221006QT62 was told their initial interest rate would be 4.5%	1	0	FN
QT50_428	the NHS is not getting the outcomes we need	the NHS is actually, weirdly, quite an efficient health service per pound spent	1	0	FN
QT30_198	48 per cent in the Brexit referendum is a mandate to nothing	48 per cent is a mandate for a referendum	1	0	FN
QT50_637	changing books in any way and banning them is very very dangerous	it’s good to look back on the books and see what was bad about them and criticise them	1	0	FN
QT30_055	these figures will now be distorted because of the situation with the coronavirus	James Clevlery is very proud of the fact that he is part of a government that has made some real differences	1	0	FN
QT30_453	the fire safety bill that has gone through today is the starting point	the fire safety bill the Government has managed to get through today is not helping AudienceMember 20210916QT12	1	0	FN
QT50_566	India Willoughby is not going to go to the gutter	Ella Whelan is desperate to drag this into the gutter	1	0	FN
QT50_553	everyone wants to talk about Harry's autobiography	no one wants to hear any more about Harry's autobiography	1	0	FN
QT30_123	on a number of occasions the UK has not followed that advice, the border being one example	the scientists they have been saying since the beginning of the pandemic there are clear strategies to follow to limit the impact it has	1	0	FN
QT50_415	we don’t have 40 new hospitals	Lucy Frazer did just say we have 40 new hospitals	1	0	FN
QT30_424	the Conservative party knows that immigration will need to go up if we're to deal with shortage problems	the Conservative Party promised that immigration would come down	1	0	FN
