ID	proposition1	proposition2	label	roberta_mnli_proposition_pred	eval_status
QT30_012	but you have problems with self-isolating at home	you are told to self-isolate at home for two weeks	1	0	FN
QT30_015	thousands and thousands of people are dying in care homes	you are throwing a protective ring around care homes	1	0	FN
QT30_018	it seems to Alex Massie to be infantilising of Government ministers to try to pretend that could be the case	you treat people like adults	1	0	FN
QT30_020	we have a chance through democracy, to break free, and progress	we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else	1	0	FN
QT30_022	the British Empire being a force for good in the world is not true	the British Empire was a force for good only in the world	1	0	FN
QT30_024	Iran and Brazil are the two highest hotbeds of the disease	until Sunday you could come from Iran or Brazil with impunity	1	0	FN
QT30_027	it’s somehow a widespread problem in Wales with late test results	test results in Wales, over 90 per cent of the people get their test results within 48 hours	1	0	FN
QT30_032	Kofie Unknown is just wondering if we're doing both priorities: protecting the economy and saving lives	now, obviously the Government is dealing with two priorities	1	0	FN
QT30_034	as opposed to the nit-picking and the point-arguing that we have seen on Twitter, very strangely, from this Government in particular	your Government began to show a little bit of contrition and acknowledgment of the mistakes that have been made in the handling of this crisis up to this point	1	0	FN
QT30_043	we have learned that we can be at productive when we are at home, if not more productive	with flexibility you couldn't work at home, you wouldn't be getting enough done	1	0	FN
QT30_045	it’s absolutely horrifying that we can’t provide more for the returning year tens and twelves	it’s absolutely delightful to see all the year tens and twelves back	1	0	FN
QT30_048	getting children back to school is a huge effort and it takes a lot of work to get children back to school safely with the social distancing requirements	we could sort out children going back to school pretty quickly actually	1	0	FN
QT30_053	people feel moved to go out and protest	we’ve got a public health emergency and nobody wants to see crowds out on the street	1	0	FN
QT30_055	these figures will now be distorted because of the situation with the coronavirus	James Clevlery is very proud of the fact that he is part of a government that has made some real differences	1	0	FN
QT30_056	the Black Lives Matter movement does themselves no favours when they riot in London	the Black Lives Matter movement is excellent	1	0	FN
QT30_062	originally the government was suggesting face coverings were not necessary and might give a false sense of confidence	Face covering matter	1	0	FN
QT30_069	people in many circumstances are or are not getting cuts off their rent, their bills, their food	we’re still asking people in many circumstances to make a cut to their wages	1	0	FN
QT30_075	Jeremy Corbyn allowed the space for anti-Semites to come into the Labout party and the leadership did absolutely nothing about it	anti-semitism in Labour is not one person’s fault	1	0	FN
QT30_090	the NHS relies on subcontractors to do the job of rolling it out	the arguments are given that the NHS will do the roll-out	1	0	FN
QT30_091	to say the NHS will do it, well, the NHS can only do it if they get the support to do their job	the arguments are given that the NHS will be able to manage the roll-out	1	0	FN
QT30_105	sorry, the AstraZeneca one is 70 percent protection	the reality is that the first dose of the Pfizer/BioNTech is about 70 percent protection, it is reckoned	1	0	FN
QT30_110	no, schools are not safe after all	schools are absolutely safe	1	0	FN
QT30_115	there is other evidence that suggests from December cases are going down	the imperial College study is scary in that it doesn’t tell us whether or not the cases are going down from December	1	0	FN
QT30_123	on a number of occasions the UK has not followed that advice, the border being one example	the scientists they have been saying since the beginning of the pandemic there are clear strategies to follow to limit the impact it has	1	0	FN
QT30_126	we can have debates about timing and when the best time to hold a second referendum would be	the question of a second referendum is not about timing	1	0	FN
QT30_134	we could say we'll send hospitality back first, but we won't send schools back	our distinction is we think schools should go back first	1	0	FN
QT30_145	giving more money is difficult	we'd love to be giving more money	1	0	FN
QT30_147	so many people have sacrificed and we don't want to risk what we've gained in terms of driving the level of the virus right down	we all want to get back to the position where we can have all the liberties back, the freedoms that we lost	1	0	FN
QT30_150	there's this presentation that is just topsy-turvy that somehow England's greedily sitting on all these vaccines	AstraZeneca is a cheap vaccine, and the UK has actually invested huge amounts of money in helping vaccine rollout round the world	1	0	FN
QT30_164	we've actually come together as a country like never before to confront COVID	we've been separated from our families like never before	1	0	FN
QT30_165	Lorna Slater really wants to spend five years of that nine years arguing about Scottish independence	we've got nine years to confront the climate emergency at the very heart of Lorna Slater's policies	1	0	FN
QT30_171	Alan Unknown thinks we need further investment in the oil and gas industry as a country	the subsea sector now hear that the Green Party would like the sector to be ceasing production in the next ten years	1	0	FN
QT30_176	the Scottish Greens have not officially hitched their wagon	the Scottish Greens have hitched their wagon	1	0	FN
QT30_177	the Scottish Greens are supporters of the SNP in government	the Scottish Greens have not officially hitched their wagon	1	0	FN
QT30_179	the investment into renewables is not happening	we've got to invest seriously and genuinely in those renewable jobs of the future	1	0	FN
QT30_186	then Michelle Dewberry ran secondly as a Brexit Party candidate	Michelle Dewberry does not represent the Brexit Party	1	0	FN
QT30_187	Michelle Dewberry is not involved with the Brexit Party, which is now called Reform	then Michelle Dewberry ran secondly as a Brexit Party candidate	1	0	FN
QT30_192	this is the first time this past election Rose Unknown had to seriously sit down and think about whether she would vote Labour	Rose Unknown has voted Labour all her life	1	0	FN
