ID	proposition1	proposition2	label	roberta_mnli_proposition_pred	eval_status
QT30_005	the track and trace exercise did identify many years ago the problems that would be faced by this country in the event of a global pandemic	the test, track and trace it is great we have this technology	0	1	FP
QT30_008	Dominic Cummings and the Conservative party have behaved with arrogance and with disrespect to the public	Katherine Calderwood accepted there was a potential damage to public consent and participation	0	1	FP
QT30_010	Government communication is one of the areas where Alex Massie thinks we have seen Boris Johnson actually, you know, fail	in terms of how viable this contact tracing operation is going to be, an awful lot of that does depend on Government communication	0	1	FP
QT30_017	you have to admit to the public	you can't just allow that mistakes will be make	0	1	FP
QT30_019	if people are following social distancing and minimising their contact, so if they are having to go to a work place to work but social distancing in the work place is really important, because that's how you avoid becoming somebody who is a contact of the sort that needs to isolate, the possibility of doing self-isolation over and over again will be low	Helen Whately recognizes that there is a risk that one might be asked to do self-isolation more than once	0	1	FP
QT30_021	in Bristol there didn’t seem to be that sense of order	we all owe it to each other to respect the rule of law	0	1	FP
QT30_026	the report from Stanford 0.1 to 0.2 per cent was not peer reviewed	Rocco Forte talked about this report from Stanford 0.1 to 0.2 per cent	0	1	FP
QT30_030	Boris Johnson wasn’t shaking hands with coronavirus patients in a hospital	Boris Johnson was shaking hands with the staff	0	1	FP
QT30_037	you don't accept the risk for people like key workers	what Suresh said about people accepting the risk is not the full story	0	1	FP
QT30_044	planning laws are still an impediment to the pace at which we want to move	we need to build, build, build	0	1	FP
QT30_046	clearly we have got to get children back to school when it is safe	we know the detrimental impact it is having on childrens´ wellbeing as well as on childrens´ educational development	0	1	FP
QT30_047	there has been a total failure to deliver on the promises	we need safety to be achieved through having a functioning test and trace system, and low levels of transmission	0	1	FP
QT30_049	great idea; begs the question where are the teachers	we can open hotels, we can put up marquees and that way we can get more kids back into school	0	1	FP
QT30_050	when we look back on this, 10,000 deaths is too many	Germany has done better in terms of their death toll	0	1	FP
QT30_051	we really could be in a terrible situation in the next two or three months	the country needs to try and find a solution in the next two or three months	0	1	FP
QT30_054	that’s not what happened, Germany as an example	otherwise every country in the world would’ve done the same thing	0	1	FP
QT30_057	it was from a minority of people	there was violence	0	1	FP
QT30_059	it’s the people that get racial equality wrong	the government has done a lot to try and make sure that we have racial equality	0	1	FP
QT30_060	we must never deny the progress that we’ve made	we should always aspire to move further and faster	0	1	FP
QT30_066	the simpler the message, the harsher it is	clarity of messaging is critically important	0	1	FP
QT30_072	there are going to be questions emerging	right now from the Scottish government's perspective, Kate Forbes' day is spent in dealing with the virus and dealing with the economic fall-out of the virus	0	1	FP
QT30_073	for this party to be caught up in something like this makes Bonnie Greer sicks	Bonnie Greer will always vote for the Labour party because she think it’s the best coalition of the left for this country	0	1	FP
QT30_074	what’s important here is that we see action from the Labour party on anti-semitism	it’s all very well the Labour party saying sorry for anti-semitism, and Keir Starmer did give an apology on the day he was elected	0	1	FP
QT30_076	there are systemic and institutional biases	you’re not doing it intentionally	0	1	FP
QT30_079	it was an aspirational working class family where we were in the middle class	Anthony Scaramucci grew up in a working class family, his dad was an hourly worker	0	1	FP
QT30_083	this is totally different this time	there’s a least of the two evils, if you will	0	1	FP
QT30_084	even global vaccine co-operation is not going to solve the problem	this is the only time Marie van der Zyl can remember in her lifetime though where the whole world is cooperating on a vaccine	0	1	FP
QT30_088	safety testing is a big hurdle the Pfizer vaccine still has not gone over	if the Pfizer vaccine passes the safety data	0	1	FP
QT30_089	Matt Hancock is being asked if he can distribute the vaccine given that these freezers are necessary to get it distributed	to end the coronavirus epidemic we need people to believe and to take the vaccine	0	1	FP
QT30_096	there is a long way to go	hope and help is here	0	1	FP
QT30_098	logistics is more about getting close to people and resolving it	Tom Kerridge can understand Colleen’s point of view are we going to fall into the same trap where it comes to rolling out the logistics of this	0	1	FP
QT30_103	there is a willingness across the population and across businesses to do whatever you need, whatever is required to accelerate and deliver this vaccine	we heard before the show that good people are involved with the vaccine roll-out	0	1	FP
QT30_108	Rachel Clarke,as a doctor, thinks that is a reprehensible position	there seems to be an increasing, very vocal minority in Britain at the moment who seems to think that somehow if a human being in British society is above a certain age or has medical comorbidities	0	1	FP
QT30_109	we have had so many months when the school closure has been potentially on the cards	we haven’t seen put into place the e-learning that’s necessary for those children so that they really can be receiving the kind of educational input they need at home	0	1	FP
QT30_112	those checks will be there	you can call it a border or not	0	1	FP
QT30_113	secondly the protocol contains the principle it should have a minimal impact on the every day lives of communities in Northern Ireland	firstly, the protocol was negotiated in order to avoid a border on the island of Ireland	0	1	FP
QT30_114	we can have a border internally within the United Kingdom	the United Kingdom under Theresa May fell into the trap that was led for them by the Republic of Ireland that the Belfast Agreement was about no borders on the island of Ireland	0	1	FP
QT30_116	the only thing on these islands was the approach to the ports at the south of England when they were trying to get across to Europe and that was caused by Covid-19	a lot of this is being hyped up in the same way that remainers said: this will happen, that will happen	0	1	FP
QT30_117	at this moment in time what we’re focusing on is saving lives, protecting hospitals, protecting the NHS, and making sure we have enough capacity in our NHS to deal with these issues	there will be plenty of time for reflection over the coming years	0	1	FP
QT30_125	people in Scotland are going to get angry about the fact that they are being denied the thing they voted for	people in Scotland are not simply just going to say oh well, we voted for independence but they said no, so let's move on	0	1	FP
QT30_127	we've known for a long time the virus is spread very quickly with the movement of people and between people	Audience Member understands the balancing act, it is a delicate balancing act between the economy and health	0	1	FP
QT30_128	Angela Haggerty has to point out that the SNP have already had a majority	if the SNP get a majority in May then the Tories don't have any authority to deny a second independence referendum	0	1	FP
QT30_129	a proposition which isn't just how terrible Scotland would do if it went out there as an independent country	you need to come up with a good proposition for the union	0	1	FP
QT30_131	we haven't had those things and we don't have a sight of what that would look like	clarity, funding, support for workers and businesses, that would make all of this easier to sustain	0	1	FP
QT30_132	the reality is you have to weigh up the extent to which people have sacrificed, staying inside	Jeremy King calls xxx a decision by committee	0	1	FP
QT30_143	Dan Hodges doesn't think there has been racism of the coverage of Megan	Dan Hodges is making a broader point	0	1	FP
QT30_151	the RCN should at least do what the Scottish Government has done	the RCN is quite strongly making a compelling case for the 12.5 per cent increase	0	1	FP
QT30_152	in this instance, the EU call the shots on the protectionism	everything that the UK does is not perfect by any stretch	0	1	FP
QT30_155	the referendum about whether we should leave the EU had a high turnout	Claire Fox has been concerned following Welsh politics for many years at the low turnout in elections and the lack of political engagement	0	1	FP
QT30_157	so many people are facing unemployment	so many people are facing wage cuts	0	1	FP
QT30_159	we're not pleading for the referendum	the result will be an agreement	0	1	FP
QT30_160	we should be focused on our recovery	a wild cat illegal referendum would bring uncertainty	0	1	FP
QT30_161	protecting people's jobs, supporting the NHS and rebuilding our educational standards would play second fiddle to a nationalist government who are only interested in separation	our parliament has to be focused to protect people's jobs	0	1	FP
QT30_162	we won't recover if the country is divided by independence	we'll need the skills and talents of everyone in this country to get through this recovery	0	1	FP
QT30_166	Ryan Unknown knows that people will make the case that things have happened since the issue of independence was discussed seven years ago	whether we spend it debating the issue of independence that in reality was resolved almost seven years ago	0	1	FP
QT30_167	Scotland is now internationally average for education	Scotland was once a world leader in education	0	1	FP
