ID	proposition1	proposition2	label	roberta_mnli_proposition_pred	eval_status
QT50_563	there are those who don't support the teachers' strike	Fiona Bruce knows the majority of people according to polling support the teachers strike	0	1	FP
QT30_125	people in Scotland are going to get angry about the fact that they are being denied the thing they voted for	people in Scotland are not simply just going to say oh well, we voted for independence but they said no, so let's move on	0	1	FP
QT30_059	it’s the people that get racial equality wrong	the government has done a lot to try and make sure that we have racial equality	0	1	FP
QT50_551	people don't expect Government to hide behind others	people expect that the Government take responsibility for the NHS	0	1	FP
QT30_211	Nick Thomas-Symonds called back in January for a comprehensive hotel quarantine	the challenge was put to Nick Thomas-Symonds about captain hindsight	0	1	FP
QT50_284	we are starving our public services	you have to have sufficient taxes to pay for them	0	1	FP
QT30_290	despite the logistical concerns there are tens of thousands of NHS thousands of NHS frontline and care staff are also, still, a month after vaccine roll-out began, unvaccinated	Rachel Clarke appreciates that there are logistical issues with the vaccine process	0	1	FP
QT30_426	what the protestors are doing on the M25 is the right thing to do	what the protestors on the M25 are doing might be inconvenient	0	1	FP
QT50_568	Ella Whelan doesn't know whether Isla Barrow is actually trans	Ella Whelan is making trans-reality sound like a lifestyle	0	1	FP
QT30_443	a thousand pounds per insulation of household is a lot of dough	the government would like to insulate homes by 2035	0	1	FP
QT50_255	the SNP are determined to lift people out of poverty	the UK government reducing universal credit is the challenge we are facing	0	1	FP
QT30_143	Dan Hodges doesn't think there has been racism of the coverage of Megan	Dan Hodges is making a broader point	0	1	FP
QT30_552	what we have seen is that local authority, when they have been able to go about track and trace, have actually been doing far better than the Serco and others on who the government is spending 12 billion	the lack of resilience has made it increasingly difficult	0	1	FP
QT30_202	we also have to look at that evidence and be cautious but irreversible	human nature is that we want to look forward to better times	0	1	FP
QT50_001	there are different things	we are right to be cautious and anxious	0	1	FP
QT50_402	the one thing the NHS is not really good at is saving lives	the NHS is really good at lots of things	0	1	FP
QT30_010	Government communication is one of the areas where Alex Massie thinks we have seen Boris Johnson actually, you know, fail	in terms of how viable this contact tracing operation is going to be, an awful lot of that does depend on Government communication	0	1	FP
QT50_249	all we're seeing is just the sort of tit for tat chat	you are fade to represent the people of the nation	0	1	FP
QT50_581	at the moment, being given a humanitarian visa and coming to the UK to complete the application is not allowed	safe and legal routes have worked before	0	1	FP
QT30_377	recognising that our politicians are not there to be separate from the people	recognising that our politicians are there to serve the people and be accessible to the people	0	1	FP
QT30_047	there has been a total failure to deliver on the promises	we need safety to be achieved through having a functioning test and trace system, and low levels of transmission	0	1	FP
QT50_085	people who are propping Putin up is not all the people in Russia	whatever else we do, we should not be giving people who are propping Putin up and Putin himself an easy ride	0	1	FP
QT30_272	it can't be both	the matter is closed one minute and he took decisive action the next	0	1	FP
QT50_272	getting Owen Paterson off at a meeting wasn't right	Boris Johnson, Charles Moore and others decided to get Owen Paterson off	0	1	FP
QT50_344	the Labour Party want to still cite the money that oil and gas companies now even though it is false	Bridget Phillipson talked about all the money that oil and gas companies are making	0	1	FP
QT30_505	Welsh supporters can't go to the football game	Denmark supporters can go to the football game	0	1	FP
QT50_226	we do have regard for the law	we know that Boris Johnson doesn't have a personal regard for the law	0	1	FP
QT50_129	we will have to learn from this report as well	over the course of the last few years we have invested heavily in midwifery staff	0	1	FP
QT50_127	there's a perfect storm of failures	if women were listened to many of those babies could have been saved	0	1	FP
US2016_026	the kind of plan that TRUMP has put forth would be trickle-down economics all over again	We also , though , need to have a tax system that rewards work and not just financial transactions	0	1	FP
QT30_098	logistics is more about getting close to people and resolving it	Tom Kerridge can understand Colleen’s point of view are we going to fall into the same trap where it comes to rolling out the logistics of this	0	1	FP
QT30_395	the temporary visas is not enough	Nadhim Zahawi dealt with the issue around the visas on the abattoirs	0	1	FP
QT30_157	so many people are facing unemployment	so many people are facing wage cuts	0	1	FP
QT50_669	if AudienceMember 20230427QT20 and their husband leave the children their house, their children will be subject to paying a 40 per cent inheritance tax on that property	the only way that AudienceMember 20230427QT20's children potentially will be able to have a house is if AudienceMember 20230427QT20's husband and AudienceMember 20230427QT20 leave the children the house that they will eventually finish paying our mortgage when they're into their 60s	0	1	FP
QT50_452	somehow or other the politicians think it might be a good idea to have a bully boy on their side	the politicians know that one of the people they put into their cabinet is a bully	0	1	FP
QT30_407	it isn't encouraging conversation on what's going on now	we are looking at the society of Victoria, which is important	0	1	FP
QT30_229	students catching up with £50 over two years is just not going to happen	the government is spending £50 per child	0	1	FP
QT30_084	even global vaccine co-operation is not going to solve the problem	this is the only time Marie van der Zyl can remember in her lifetime though where the whole world is cooperating on a vaccine	0	1	FP
QT30_550	25 years on and whenever Rosie Jones walks in the street alone, she wears headphones because of how she walks and talks	the Disability Discrimination Act was groundbreaking	0	1	FP
QT50_078	even people who are supposed to be really called	when this whole invasion was announced by Mr Putin, he called in his top echelon	0	1	FP
QT50_317	let's see the action on it	to give the Government credit, in this announcement on Friday, they said they would make house building easier	0	1	FP
QT50_479	we have to also look at the positive things that have come out of that flawed process	we’ve learned again and again in different countries that the COP process is hugely flawed	0	1	FP
QT30_114	we can have a border internally within the United Kingdom	the United Kingdom under Theresa May fell into the trap that was led for them by the Republic of Ireland that the Belfast Agreement was about no borders on the island of Ireland	0	1	FP
QT50_215	a blind man on a galloping horse would see this for what it is	Naomi Long tries hard not to be cynical about these things, like parlimentary recess	0	1	FP
QT30_396	the temporary workers have to go home in order to reapply for a visa, in order to come back	the temporary workers could switch to being able to work in the abattoirs	0	1	FP
QT30_436	the M25 protest is not winning people over and you're not helping the cause	we want to tackle climate change	0	1	FP
QT30_342	that is the sort of things people need to do	it is not sexy talking about insulating your loft	0	1	FP
QT30_203	no offence, guys, but	Lisa Nandy had the feeling that somebody, perhaps Andi, was going to tell us all we had to get up and hug each other	0	1	FP
QT30_030	Boris Johnson wasn’t shaking hands with coronavirus patients in a hospital	Boris Johnson was shaking hands with the staff	0	1	FP
QT30_162	we won't recover if the country is divided by independence	we'll need the skills and talents of everyone in this country to get through this recovery	0	1	FP
QT50_615	what we don’t have is a real tangible plan	what we’ve got right now is a lot of language that obviously no-one would disagree with	0	1	FP
QT30_527	Sir Keir Starmer brushes his hair and seems like a grown-up opposed to our current Prime Minister who does not	Sir Keir Starmer brushing his hair before doing speeches is an appeal for Deborah Frances-White	0	1	FP
QT50_441	Emily Thornberry does feel very strongly about being involved in politics to make the world a better place	Emily Thornberry knows she's ranting	0	1	FP
QT50_207	we've all got long memories	AudienceMember 20220609QT228 knows seven days is a long time in politics	0	1	FP
QT50_324	the timing is horrendous	as much as you look at the policies and individually, a lot of the policies that were mentioned in the mini-budget were good and will help with growth	0	1	FP
QT50_607	having the highest sustained growth is a pledge	Thangam Debbonaire can try to have the highest sustained growth	0	1	FP
QT30_345	AudienceMember 20211111QT18 lives in a terraced house	the same is AudienceMember 20211111QT18 would love to have an electric car	0	1	FP
QT30_021	in Bristol there didn’t seem to be that sense of order	we all owe it to each other to respect the rule of law	0	1	FP
QT50_635	bullying for children will continue	which probably the publishers are using as they monetise the nostalgia that is Roald Dahl for many parents actually	0	1	FP
QT30_293	the Brexit debate was not in the best interests of the people who live in Northern Ireland	the reality is also that throughout all of the Brexit debate it was very clear that it was very much on an English agenda	0	1	FP
QT30_495	the Government have decided to reduce the GDP percentage for UK foreign aid spending as well	UK foreign aid spending would have reduced anyway due to the pandemic	0	1	FP
QT50_523	Wes Streeting is pointing out that there is a problem by saying that five million GP appointments are being missed a month	Wes Streeting gets attacked by the BMA for running down hard working GPs for saying that there is a problem with five million GP appointments being missed a month	0	1	FP
QT30_296	there's a sting in the tail for workers here, particularly in terms of hospitality and getting people back in	Jo Grady has lots of empathy with business owners who would like this to enable their customers to feel safe	0	1	FP
QT30_166	Ryan Unknown knows that people will make the case that things have happened since the issue of independence was discussed seven years ago	whether we spend it debating the issue of independence that in reality was resolved almost seven years ago	0	1	FP
QT50_217	Stormont is not going to do anything	as a unionist AudienceMember 20220609QT263 agrees with most of what Emma Little-Pengelly said	0	1	FP
QT30_281	David Davis doesn't disagree that Boris Johnson's non-action was a missed opportunity to set the standard for social distancing	David Davis has been fighting against some of the excessive limitations about social distancing	0	1	FP
QT50_240	that a party leader at UK level should resign is what Stephen Kerr is saying tonight	this is a difficult thing for Stephen Kerr as a lifelong Conservative to be sitting here	0	1	FP
QT50_555	one of my criticisms of this is that Prince Harry doesn't actually have any solutions to it at all	lots of terrible mistakes were made	0	1	FP
QT50_177	people need to look at their own local authorities	we keep talking about how much MPs get paid and everybody else	0	1	FP
QT30_309	at the point of the question, I was like hold on a second, again, we are being mocked in Parliament	up until the question, you know the Prime Minister had a really good kind of you know, what he said made sense	0	1	FP
QT30_346	AudienceMember 20211111QT18 used the train	AudienceMember 20211111QT18 can't get there for £30 on a flight	0	1	FP
QT50_130	we will have to learn from this report as well	we've introduced the Best Start Programme	0	1	FP
QT50_525	the first thing that Margaret Thatcher did when she came into office was to pay the public sector quite large increases	the Tory Party seems to believe that Margaret Thatcher was tremendously tough, and so they should be like her	0	1	FP
QT50_472	what Rishi Sunak is doing is greenlighting yet more oil and gas	we had Rishi Sunak claiming that he’s going to go faster	0	1	FP
US2016_039	HOLT just wants to get the answer here	HOLT will let TRUMP respond	0	1	FP
QT50_114	working with the UK Government last week Ian Blackford has commended the Government on helping to get 50 odd orphans out of Dnipro into Scotland	in that desire to achieve consensus we must do more	0	1	FP
QT30_289	that’s assuming everybody comes in for their first shot and for their second shot and you are not playing catch-up	if the UK government starts vaccinating in January, given that it takes 5 to 6 weeks to get immunity, and you did a million people a week, we wouldn’t get that 10 million vaccinated until way into April	0	1	FP
QT30_315	clearly, there was a case to be answered	the perspective that is looked on in politicians is not often worked through at what cost they're doing some parts of their job	0	1	FP
QT50_674	we need to have a bit of vision	party factionalism leading to short termism is what's going on	0	1	FP
QT30_060	we must never deny the progress that we’ve made	we should always aspire to move further and faster	0	1	FP
QT30_249	we don't know if restrictions will be fully lifted on 21 June or not	we have been talking about 21 June	0	1	FP
QT50_434	we certainly can’t afford a great deal more in terms of pay rise	good will isn’t only about possibly a slightly higher pay rise	0	1	FP
QT30_044	planning laws are still an impediment to the pace at which we want to move	we need to build, build, build	0	1	FP
QT30_401	nobody wants to admit to it in the Government	the problem here, the elephant in the room, is Brexit	0	1	FP
QT30_409	the effective tax raise on people under the system for universal credit was 90 per cent	you say you would do all of these things	0	1	FP
QT50_677	our Government is cutting the aid budget	tonight 800 million will go to bed hungry around the world	0	1	FP
QT50_548	when it comes to the issue of life and limb if you don't know that someone will come when there's literally a risk to life, I don't think that's the right	the point the gentleman's making, of course you have to be able to strike that balance	0	1	FP
QT50_397	the politicians should not have the party uppermost in their minds	the politicians should have the best interests of the country uppermost in their minds	0	1	FP
QT50_049	clearly we are at 30,000 deaths	it is dangerous and that's certainly what our public health expert colleagues say to draw conclusions at this point	0	1	FP
QT30_397	the only way that you fix the food production problem is to improve conditions in the industry	the Government could take some steps right now that would ease the food production problem	0	1	FP
QT50_632	the government refuses to put in place a proper windfall tax	Shell today made eye-watering profits, driven by the energy crisis, paid by everybody in this room	0	1	FP
QT30_223	we've got to learn and improve	franchises just doesn't work	0	1	FP
QT50_005	we need to know more about the Omicron variant	the Omicron cases tend to be on the severe end then	0	1	FP
QT50_543	You can't guarantee on a normal day that you will get an ambulance when you need it	we're in the ludicrous position at the moment where Conservative ministers are talking about introducing minimum standards during strikes	0	1	FP
QT50_222	the British government have been found wanting in regard of negotiating in a credible fashion	you have two people willing to negotiate with each other in a credible fashion	0	1	FP
QT50_233	Naomi Long has a lot of respect for Robert Buckland, and they worked together in his previous role	how Robert Buckland could believe anything that Boris Johnson says at face value is beyond Naomi Long at this point	0	1	FP
QT30_518	taking away adverts for junk food before 9 needs to be in the context of the overall food strategy	Caroline Lucas is glad the Government is beginning to look at taking away adverts for junk food before 9	0	1	FP
QT30_066	the simpler the message, the harsher it is	clarity of messaging is critically important	0	1	FP
QT50_308	there would have still been arguments	reducing the top rate of income tax for rich people strikes Anne McElvoy as a budget that you could have done after Brexit in 2016 and let a lot of things rip	0	1	FP
QT30_089	Matt Hancock is being asked if he can distribute the vaccine given that these freezers are necessary to get it distributed	to end the coronavirus epidemic we need people to believe and to take the vaccine	0	1	FP
QT50_158	Putin clearly hasn't seen the sunlight in quite a while	the mechanism for holding Vladimir Putin to account is the International Criminal Court	0	1	FP
QT50_554	the Government need to start tackling inflation first	obviously conditions are also eroding people's pay	0	1	FP
US2016_000	Hilary Clinton is staying above the noise	most of what Hillary Clinton said has been fluff and targeted rhetoric	0	1	FP
QT50_360	there are people who are undecided	in Scotland there are more people who voted for the SNP	0	1	FP
QT30_515	it would be a bad assessment to assume Boris Johnson was trying to make a direct link to the conversation that had been happening previously	the Prime Minister's comments were clumsy	0	1	FP
QT50_625	the government decided to make an example of Shamima Begum	Shamima Begum should absolutely have been able to come back here and be tried for the crimes she is said to have committed that mean the government have taken her citizenship away	0	1	FP
QT50_258	the youngsters who might benefit won't know it is them who will benefit	if there is a planning application for more homes you get all the people in the area turning up saying they don't want it	0	1	FP
US2016_017	TRUMP wouldn't do that	TRUMP has been very nice to KELLY , although TRUMP could probably maybe not be	0	1	FP
QT50_488	one has got to check if Liverpool people want the Eurovision Song Contest	Liverpool have got a pedigree for singing	0	1	FP
QT50_576	it is important to recognise the Gender Recognition Reform bill is one of the most consulted on pieces of legislation in history, Scottish history	we spoke about whether to review around the Gender Recognition Reform bill earlier on	0	1	FP
QT50_390	things haven't changed	the leadership of Sinn Fein are trying to say there is a momentum behind this	0	1	FP
QT50_068	there are some really strict Parliamentary oversight procedures to ensure that that data is being held properly	there are circumstances in which you do use data, for example, fighting crime and preventing terrorism	0	1	FP
QT50_136	Greg Hands cut the subsidies when it came to onshore wind and solar	Greg Hands could say to Emily Thornberry that we weren't sufficiently in favour of nuclear early enough	0	1	FP
QT30_076	there are systemic and institutional biases	you’re not doing it intentionally	0	1	FP
QT50_652	now we've got governments that are trying to rip up those obligations on human rights and refugees	Oxfam helped build the universal declaration on human rights	0	1	FP
QT30_297	the idea of a passport is ethically unacceptable	Audience Member8 works in healthcare and Audience Member8 encourages every patient they meet to get their COVID vaccine	0	1	FP
QT50_054	at the same time we can't simply say this is something for the future	we have to answer that question as to why we have ended up with this tragic death toll as we have	0	1	FP
QT30_072	there are going to be questions emerging	right now from the Scottish government's perspective, Kate Forbes' day is spent in dealing with the virus and dealing with the economic fall-out of the virus	0	1	FP
QT50_141	the Chancellor of the Exchequer's really important package is different to the long-term strategy that we've launched today with renewables, nuclear, and making sure we're not increasing our imports of oil and gas	the £200 discount on energy bills, £150 discount on council tax, and the additional funds are the important things that we've announced to help people with bills	0	1	FP
QT30_384	we find ourselves in a situation, almost a mirror of what we saw with the truck drivers	Nadhim Zahawi promised one day workers in this country will have higher wages	0	1	FP
QT50_440	some of us are involved in politics in order to try and make the world better	the modern way of looking at politicians is to laugh at us or to sneer at us	0	1	FP
QT30_419	now HGV drivers are not allowed to take their wives with them for insurance and things like that	in the olden days, HGV drivers used to be able to take their wives with them	0	1	FP
QT50_646	the asylum system is broken	the public want answers to the migrant housing crisis for a whole variety of reasons	0	1	FP
QT30_116	the only thing on these islands was the approach to the ports at the south of England when they were trying to get across to Europe and that was caused by Covid-19	a lot of this is being hyped up in the same way that remainers said: this will happen, that will happen	0	1	FP
QT30_129	a proposition which isn't just how terrible Scotland would do if it went out there as an independent country	you need to come up with a good proposition for the union	0	1	FP
QT50_014	Peter Openshaw talked about the value of testing before people get on a plane	Labour's point is about PCR tests	0	1	FP
QT50_094	there would be people around Putin who would think he's crazy	maybe Putin would press the button	0	1	FP
QT50_056	now Coronavirus tests are taking five days	Chris Hopson was talking to a National Health Service Trust Chief Executive who two weeks ago could get tested for Coronavirus in a day	0	1	FP
QT50_490	it’s a protest	there’s a new law saying that we mustn’t make noise when we protest	0	1	FP
QT30_509	in terms of capacity, this isn't particularly abnormal for the NHS	the stats 20210722QT09 pointed out we have very serious problems about waiting lists	0	1	FP
QT50_584	turning Britain into Singapore is not a particularly attractive prospect	Brexit turned into some kind of weird campaign to turn Britain into Singapore on Thames	0	1	FP
QT50_076	we can also then have different interventions in different parts of the country	as we come out we have to be together to help simplify the messaging	0	1	FP
QT30_218	we know that the coronavirus mutates when it's in high circulation	there may not have been a variant of concern	0	1	FP
QT30_399	it is a lot of people now don't want to cut up meat	maybe it is the conditions	0	1	FP
QT30_536	many people could end up in hospital	death rates should be much, much lower	0	1	FP
QT30_037	you don't accept the risk for people like key workers	what Suresh said about people accepting the risk is not the full story	0	1	FP
QT50_394	Rishi Sunak moved Conservative constituencies up the list	last year, or two years ago, the town fund put 580 towns in order of their greatest need	0	1	FP
QT50_336	Anne McElvoy wouldn't say that associating Conservatives with housing problems is a good sign for them	Anne McElvoy is not a marketing genius like Karan Bilimoria	0	1	FP
QT30_049	great idea; begs the question where are the teachers	we can open hotels, we can put up marquees and that way we can get more kids back into school	0	1	FP
QT50_280	dealing with the actual issues and being ready on day one to come in, not as an apprenticeship but ready on day one, is really important	there's a lot of political bickering and Bim Afolami appreciates that	0	1	FP
QT30_379	we've got to be very careful to balance that with keeping the so very important aspect, almost unique in our democracy, which is the openness and accessibility of elected representatives to their constituents	the protection should be there if a member of parliament feels that they require it or that their staff should require it	0	1	FP
QT30_304	being in that situation is like nothing that Audience Member would wish on her worst enemy	Audience Member has been in a position where herself and her daughter were effectively homeless and it is a really horrible place to be	0	1	FP
QT50_091	if people in need go to France, they can get in a dinghy and get free entry	isn't it ironic that we've got people in need, because of the war, who are having barriers put in front of them to come to this country	0	1	FP
QT50_373	you didn't support the independence	you wanted Nicola Sturgeon to steer us through the pandemic	0	1	FP
QT50_224	there was no concern about the impact on the Good Friday Agreement	Naomi Long listened carefully to Robert Buckland saying the importance of consent	0	1	FP
QT50_477	what’s most corrosive in this from any perspective, whether it’s financial, economic or social, is to give in to fatalism	there is a realism around 1.5 degrees temperature rises	0	1	FP
QT50_650	undocumented people are an even more vulnerable population	we're talking about the welfare of these people who come here	0	1	FP
QT50_572	a lot of the stories in the press are made up	some of you might not believe that there is no way somebody who has committed rape would be moved into the women's estate given what you have read in the press	0	1	FP
QT30_533	we know things could change	there's really good reason at the moment looking at the data as it is	0	1	FP
