seg1,seg2,label,contradiction type,issues?
Good for you. Buy yourself something special.,You can send me the bonus if you don't mind,self-contradiction,N-a,Missing Context
That is super sweet of them! So nice. ,Why did they need to give you a gift? Were they apologising for something?,self-contradiction,structure,
"Cheetos really are a good snack, they are super cheesy!",I don't. I hate cheesy things.,self-contradiction,negation,
same . i work as a kennel assistant . that's how i got 3 dogs . you ?,"I'd love to have that job! Currently I'm unemployed, so I'm looking for anything that will bring in a paycheck!",self-contradiction,lexical,
"I have never had Kobe Beef before, have you?",I know! I try to eat some Kobe beef once a week.,self-contradiction,factive,
I have a court date next week and I don't know what's going to happen.  I really want custody of my kids.,That is great! How about next week? I have nothing important going on next week. ,self-contradiction,negation,
Aww I think the dachshunds are so cute! Are they very friendly?,"No i actually don't trust them,they could be hostile sometimes.They are not friendly.",self-contradiction,negation,
I lived in Kentucky and would go to the horse farms all the time.,Also me they are not such a favorite to me I love dogs anyway.,self-contradiction,N-a,Missing Context
For sure! Mostly the treadmill and minor weight lifting. Just running for you?,The only exercise I do is swimming.,self-contradiction,factive,
So do I. I am a horrible cook but I like watching the shows.,They would with me. Do not forget I am the head-chef in a French restaurant.,self-contradiction,lexical,
"pretty good , sold cars all day , its my new job .",new job as banker gives me great satisfaction,self-contradiction,lexical,
I should go out to the lake today. ,"I really wish I knew how to swim, but I've been terrified of water since I was a child.  I cannot go anywhere near the lake.",self-contradiction,lexical,
"Ive been wanting to be a linebacker in football for some time but dont have a clue about it, Can you tell me what it is? ",I'm not interested in learning about it. ,self-contradiction,negation,
I love to splurge on sushi. my favorite is the raw seafood.,I hate sushi. How can anyone eat raw fish? ,self-contradiction,antonymy,
"my mom won't let me , she said i am too little .","i drive almost everyday . i'm 24 , so i'm old enough...",self-contradiction,lexical,Missing Context
i dont wont to have to go trow that. scars me,I would not be bothered about having an NDE it wouldn't scare me one bit.,self-contradiction,negation,typos
that must be fun getting to see so much,okay do you like guitar?,self-contradiction,N-a,Missing Context
"Well, and to your point -- MAGNESIUM. Since (TMI warning) constipation can be a keto challenge, magnesium is a supplement we use to make sure lots of things stay, um, regular. And good for you on balance -- I think people often overdo the protein.",I believe people do not overdo the proteins,self-contradiction,negation,
They are hungry little beast.,Awe sorry to hear. Those raccoons are probably just starving for something to eat!,self-contradiction,lexical,
"Yeah, that seems like a skill that must practiced a lot.","That sounds easy. Once you got it, you don't need to practice anymore. Just like biking, I suppose. ",self-contradiction,WK,Missing Context
I listen to them on sirius xm on the radio in my Dodge Ram.,"Well, you're probably safer in that than on a unicycle, lol.",self-contradiction,N-a,Missing Context
"Its OK, I am only in my 2nd year of college and hope to get a job as a teacher though.",I could never be a teacher. It sounds so boring.,self-contradiction,negation,
wow ! when i'm older i want to play pro football . you sing ?,Congratulations! I love tennis too but football isn't really my thing.,self-contradiction,negation,
I’m a bachelor who never married before. ,I know your wife’s name. ,self-contradiction,N-a,Missing Context
yes they do but my mom and dad worked for espn and hated it so . . .,"They don't, they both love working for espn. ",self-contradiction,antonymy,
"When I had to put down my cat, I suffered immensely! The pain is severe and and can cause ""broken heart syndrome"" which means actual physical damage to your heart.","Not really, I didn’t feel that bad about it as he was old and had a good life.",self-contradiction,negation,
i enjoy watching saturday night live,"It is okay, I never liked Saturday night live anyways",self-contradiction,negation,
"no kidding , great name . i work for a family owned restaurant . that is a coincidence .",that sounds nice. sport activities also keeps my dream alive.,self-contradiction,N-a,Missing Context
It must have been the best feeling in the world. I am glad you felt it too.,Are you married  ,self-contradiction,N-a,Missing Context
"Jeesh, was she not paying attention in class, or is there some other issue?",Though she might have been serious in class just reward her.,self-contradiction,lexical,
Yeah that sounds really sad. I am sorry for what you went through. ,"What he did doesn't seem like a big deal to me, and you got back at him, so you should just get over it. ",self-contradiction,lexical,
"I love sports, i played football in college ",I understand. That's why I never played sports.,self-contradiction,negation,
"I get to go to the park today for a BBQ with friends,  it should be so much fun!","Me too,  there has been a lot of rain lately. It should be fun hanging out with old friends!",self-contradiction,N-a,Missing Context
afternoon  i like rap music,I prefer hip hop music as I don't really like rap.,self-contradiction,negation,
haha not bad! where are you going on vacation?,I don't know what a vacation is.,self-contradiction,negation,Missing Context
well i only eat meat . ever ! ! !,"Well, I'm allergic to meat protein, I hate it to the core!",self-contradiction,negation,
"Foster children are kept usually until their parents can keep them again or they turn 18. In our case, my parents adopted my sister, so she stays with us permanently.",My parents never adopted any child.,self-contradiction,negation,
"hello my name is sally , i am a baker",I'm a horrible cook. I burn everything that I put in the oven.,self-contradiction,WK,
i do not get on well with most people .,I don't mind being around a lot of people. I get along with everyone.,self-contradiction,negation,
Yoga is something I enjoy a lot. Also writing and meditation. How about you?,"Me too, i like English classes, so do i hate anything relating to sports.",self-contradiction,antonymy,
Nobody likes to encounter that! lol that's way Dentists are so important,You can always brush more. Then you will be fine and not need the dentist. ,self-contradiction,negation,typos
I'm sure it will! I didn't get along with my dad until i became an adult.,Well it shouldn't. I have hated my father my entire life. ,self-contradiction,WK,
That is a lot of work! But it sounds like you find it worthwhile. ,I think the military including reserves should be eliminated. No one should have guns. Life would be more peaceful then. ,self-contradiction,N-a,Missing Context
"Oh, for sure! One has to know how to prevent, treat, diagnosis and help rehabilitate disorders of the nervous system. Which includes brain, peripheral nerves and spinal cord.",It's actually extremely easy and there isn't much to learn,self-contradiction,negation,
"I agree, there is nothing wrong with gray or speckled hair. Perhaps it is because many celebrities do it as well.","Yeah mullets are an interesting hair style. I'm fine with them as long as they're not gray, gray hair just looks bad.",self-contradiction,negation,
That is so cool. I am in my 20s but I am scared of motorcycles.,"Same, I've had my motorcycle 5 years, most people find them scary but I think it's comforting to drive it on the open road.",self-contradiction,lexical,
that actually sounds good ! a dash of pepper could be better .,i don't want to eat a meal and i hate pepper.,self-contradiction,negation,
