ID	locution1	locution2	proposition1	proposition2	label
QT50_318	The reality is we don't build enough houses	Many of us want the opportunity to own our home	the reality is we don't build enough houses	many of us want the opportunity to own our home	1.0
QT30_467	that's how some people have expressed it	A terrible thing to say	life becoming not worth living is how some people have expressed it	making people's lives so miserable by trapping them indoors all day denying them contact with people making their life become not worth living is a terrible thing to say	0.0
QT50_316	I was told today that the lender has pulled the offer and the best I can get is 10.5%	I was told my initial interest rate would be 4.5%	AudienceMember 20221006QT62 was told today that the lender has pulled the offer and the best they can get is 10.5%	AudienceMember 20221006QT62 was told their initial interest rate would be 4.5%	1.0
QT30_175	this is a problem that I have with the SNP approach of setting targets and putting their hopes in things like carbon capture	we need to actually be practical about our obligations under the climate…under the Paris Agreement	this is a problem that Lorna Slater has with the SNP approach of setting targets and putting their hopes in things like carbon capture	we need to actually be practical about our obligations under the Paris Agreement	1.0
QT50_584	Which isn't, to me, a particularly attractive prospect	turned into some kind of weird campaign to turn Britain into Singapore on Thames	turning Britain into Singapore is not a particularly attractive prospect	Brexit turned into some kind of weird campaign to turn Britain into Singapore on Thames	0.0
QT30_479	Today, whether you want to do it via Qatar, or via the UAE, you have to directly or indirectly engage with them	Ten days ago, the idea of talking to the Taliban was utterly unimaginable	today, whether you want to do it via Qatar, or via the UAE, you have to directly or indirectly engage with the Taliban	ten days ago, the idea of talking to the Taliban was utterly unimaginable	1.0
QT30_275	people do look to them for leadership	politicians are anybody special	people do look to politicians for leadership	politicians aren't anybody special	1.0
QT50_672	they dropped it pretty damn pronto	the Government tried to introduce the policy where it would be easier to build house	the Government dropped the policy to make it easier to build homes pretty damn pronto	the Government tried to introduce the policy where it would be easier to build homes	1.0
QT30_405	I don't feel as a woman that either care about safety	right now there is a government inquiry and a Met inquiry	Rosie Jones doesn't feel as a woman that either the Met or Government inquiries care about safety	right now there is a government inquiry and a Met inquiry	0.0
QT30_289	that’s assuming everybody comes in for their first shot and for their second shot and you are not playing catch-up	If you start vaccinating in January, given that it takes 5 to 6 weeks to get immunity, and you did a million people a week, we wouldn’t get that 10 million vaccinated until way into April	that’s assuming everybody comes in for their first shot and for their second shot and you are not playing catch-up	if the UK government starts vaccinating in January, given that it takes 5 to 6 weeks to get immunity, and you did a million people a week, we wouldn’t get that 10 million vaccinated until way into April	0.0
QT50_453	would like to retire early	that has never been more the case than at the moment where you just have exhausted staff from the pandemic, traumatised staff from the pandemic, who are still turning up	NHS staff would like to retire early	NHS staff going above and beyond has never been more the case than at the moment where you just have exhausted staff from the pandemic, traumatised staff from the pandemic, who are still turning up	1.0
QT30_063	they suggested when it came to enclosed spaces such as public transport, face coverings are faced	originally the government was suggesting face coverings were not necessary and might give a false sense of confidence	the government suggested when it came to enclosed spaces such as public transport, face coverings are faced	originally the government was suggesting face coverings were not necessary and might give a false sense of confidence	1.0
QT30_390	we haven't got this over the line	I believe Steve Barkley who is charged with saving Christmas yet again is doing everything he can	we haven't got this over the line	Minette Batters believes Steve Barkley who is charged with saving Christmas yet again is doing everything he can	0.0
QT30_184	very little, particularly from the Brexit Party, about how you solve some of the problems for people in this country	I've heard lots of talk about deconstruction	Lisa Nandy has heard very little, particularly from the Brexit Party, about how they solve some of the problems for people in this country	Lisa Nandy has heard lots of talk about deconstruction	1.0
QT30_101	we’re borrowing £400 billion this year -- in a single year	We can offer more help, we want to see that	we’re borrowing £400 billion this year -- in a single year	we can offer more help, we want to see that	1.0
QT30_371	we've actually only created 21,400 green jobs in Scotland with the powers that we already have	The Scottish Government promised that we would have 130,000 green jobs by 2020	we've actually only created 21,400 green jobs in Scotland with the powers that we already have	the Scottish Government promised that we would have 130,000 green jobs by 2020	1.0
QT50_548	when it comes to the issue of life and limb if you don't know that someone will come when there's literally a risk to life, I don't think that's the right	the point the gentleman's making, of course you have to be able to strike that balance	when it comes to the issue of life and limb if you don't know that someone will come when there's literally a risk to life, I don't think that's the right	the point the gentleman's making, of course you have to be able to strike that balance	0.0
QT30_427	they wouldn't have to take those actions	It's inconvenient and it's not the best way	the protestors on the M25 wouldn't have to take those actions	what the protestors on the M25 are doing is inconvenient and it's not the best way	0.0
QT50_183	we do need to probably move on from it	I'm not saying that we can just forgive and forget	we do need to probably move on from it	AudienceMember 20220505QT21 is not saying that we can just forgive and forget	1.0
QT30_490	Is that reasonable?	They probably have the legal right to open every packet and inspect every sausage	that is not reasonable	they probably have the legal right to open every packet and inspect every sausage	1.0
QT30_380	the hole they have left in the National Health Service budget	we got a tax hike on working people to pay not for social care	the tax hike is to pay for the hole they have left in the National Health Service budget	we got a tax hike on working people to pay not for social care	1.0
QT30_051	we really could be in a terrible situation	try and find a solution in the next two or three months	we really could be in a terrible situation in the next two or three months	the country needs to try and find a solution in the next two or three months	0.0
